H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
258.94,237.16,254.1,249.26,261.36,125.84,130.68,137.94,123.42,152.46
225.06,246.84,249.26,258.94,246.84,135.51999999999998,154.88,135.51999999999998,150.04,121
271.03999999999996,258.94,280.71999999999997,280.71999999999997,271.03999999999996,147.62,140.35999999999999,159.72,159.72,142.78
254.1,307.34,268.62,285.56,251.68,133.1,154.88,116.16,166.98,137.94
239.57999999999998,249.26,246.84,278.3,263.78,125.84,135.51999999999998,130.68,157.29999999999998,162.14
227.48,244.42,208.12,239.57999999999998,258.94,99.22,130.68,116.16,125.84,157.29999999999998
273.46,258.94,271.03999999999996,287.98,,130.68,154.88,137.94,133.1,
258.94,273.46,278.3,312.18,273.46,116.16,104.06,116.16,116.16,104.06
266.2,237.16,266.2,273.46,246.84,108.89999999999999,104.06,130.68,142.78,137.94
227.48,254.1,237.16,244.42,244.42,130.68,142.78,116.16,140.35999999999999,152.46
220.22,215.38,198.44,200.85999999999999,220.22,113.74,113.74,104.06,104.06,104.06
244.42,249.26,249.26,273.46,217.79999999999998,113.74,130.68,125.84,154.88,130.68
256.52,290.4,278.3,290.4,254.1,164.56,145.2,147.62,162.14,133.1
258.94,263.78,278.3,278.3,271.03999999999996,145.2,130.68,152.46,137.94,142.78
234.73999999999998,234.73999999999998,258.94,244.42,244.42,133.1,113.74,150.04,130.68,128.26
254.1,251.68,266.2,258.94,261.36,121,113.74,125.84,125.84,118.58
237.16,220.22,254.1,222.64,258.94,142.78,125.84,166.98,142.78,150.04
254.1,251.68,285.56,246.84,283.14,137.94,157.29999999999998,183.92,130.68,164.56
232.32,217.79999999999998,215.38,246.84,249.26,154.88,130.68,130.68,237.16,137.94
234.73999999999998,249.26,266.2,220.22,261.36,123.42,133.1,152.46,123.42,140.35999999999999
250,280,284,282,289,116,116,140,120,
225,250,236,234,265,132,149,126,157,
251,260,286,273,,132,130,160,154,
225,227,249,245,239,115,98,101,119,106
238,236,253,253,260,107,130,102,127,136
230,260,266,275,265,133,131,156,160,164
242,275,290,275,265,133,131,158,160,164
242,275,290,275,260,122,140,185,150,123
285,297,282,292,311,138,128,134,140,138
336,310,277,307,316,172,122,153,130,157
